id,ms_sub_class,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition1,condition2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior1st,exterior2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type1,bsmt_fin_sf1,bsmt_fin_type2,bsmt_fin_sf2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3_ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,sale_price
1,60,rl,65.0,8450,pave,,reg,lvl,all_pub,inside,gtl,collg_cr,norm,norm,1_fam,2_story,7,5,2003,2003,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,196.0,gd,ta,p_conc,gd,ta,no,glq,706,unf,0,150,856,gas_a,ex,y,s_brkr,856,854,0,1710,1,0,2,1,3,1,gd,8,typ,0,,attchd,2003.0,r_fn,2,548,ta,ta,y,0,61,0,0,0,0,,,,0,2,2008,wd,normal,208500
2,20,rl,80.0,9600,pave,,reg,lvl,all_pub,fr2,gtl,veenker,feedr,norm,1_fam,1_story,6,8,1976,1976,gable,comp_shg,metal_sd,metal_sd,,0.0,ta,ta,c_block,gd,ta,gd,alq,978,unf,0,284,1262,gas_a,ex,y,s_brkr,1262,0,0,1262,0,1,2,0,3,1,ta,6,typ,1,ta,attchd,1976.0,r_fn,2,460,ta,ta,y,298,0,0,0,0,0,,,,0,5,2007,wd,normal,181500
3,60,rl,68.0,11250,pave,,ir1,lvl,all_pub,inside,gtl,collg_cr,norm,norm,1_fam,2_story,7,5,2001,2002,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,162.0,gd,ta,p_conc,gd,ta,mn,glq,486,unf,0,434,920,gas_a,ex,y,s_brkr,920,866,0,1786,1,0,2,1,3,1,gd,6,typ,1,ta,attchd,2001.0,r_fn,2,608,ta,ta,y,0,42,0,0,0,0,,,,0,9,2008,wd,normal,223500
4,70,rl,60.0,9550,pave,,ir1,lvl,all_pub,corner,gtl,crawfor,norm,norm,1_fam,2_story,7,5,1915,1970,gable,comp_shg,wd_sdng,wd_shng,,0.0,ta,ta,brk_til,ta,gd,no,alq,216,unf,0,540,756,gas_a,gd,y,s_brkr,961,756,0,1717,1,0,1,0,3,1,gd,7,typ,1,gd,detchd,1998.0,unf,3,642,ta,ta,y,0,35,272,0,0,0,,,,0,2,2006,wd,abnorml,140000
5,60,rl,84.0,14260,pave,,ir1,lvl,all_pub,fr2,gtl,no_ridge,norm,norm,1_fam,2_story,8,5,2000,2000,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,350.0,gd,ta,p_conc,gd,ta,av,glq,655,unf,0,490,1145,gas_a,ex,y,s_brkr,1145,1053,0,2198,1,0,2,1,4,1,gd,9,typ,1,ta,attchd,2000.0,r_fn,3,836,ta,ta,y,192,84,0,0,0,0,,,,0,12,2008,wd,normal,250000
6,50,rl,85.0,14115,pave,,ir1,lvl,all_pub,inside,gtl,mitchel,norm,norm,1_fam,1.5_fin,5,5,1993,1995,gable,comp_shg,vinyl_sd,vinyl_sd,,0.0,ta,ta,wood,gd,ta,no,glq,732,unf,0,64,796,gas_a,ex,y,s_brkr,796,566,0,1362,1,0,1,1,1,1,ta,5,typ,0,,attchd,1993.0,unf,2,480,ta,ta,y,40,30,0,320,0,0,,mn_prv,shed,700,10,2009,wd,normal,143000
7,20,rl,75.0,10084,pave,,reg,lvl,all_pub,inside,gtl,somerst,norm,norm,1_fam,1_story,8,5,2004,2005,gable,comp_shg,vinyl_sd,vinyl_sd,stone,186.0,gd,ta,p_conc,ex,ta,av,glq,1369,unf,0,317,1686,gas_a,ex,y,s_brkr,1694,0,0,1694,1,0,2,0,3,1,gd,7,typ,1,gd,attchd,2004.0,r_fn,2,636,ta,ta,y,255,57,0,0,0,0,,,,0,8,2007,wd,normal,307000
8,60,rl,,10382,pave,,ir1,lvl,all_pub,corner,gtl,nw_ames,pos_n,norm,1_fam,2_story,7,6,1973,1973,gable,comp_shg,hd_board,hd_board,stone,240.0,ta,ta,c_block,gd,ta,mn,alq,859,blq,32,216,1107,gas_a,ex,y,s_brkr,1107,983,0,2090,1,0,2,1,3,1,ta,7,typ,2,ta,attchd,1973.0,r_fn,2,484,ta,ta,y,235,204,228,0,0,0,,,shed,350,11,2009,wd,normal,200000
9,50,rm,51.0,6120,pave,,reg,lvl,all_pub,inside,gtl,old_town,artery,norm,1_fam,1.5_fin,7,5,1931,1950,gable,comp_shg,brk_face,wd_shng,,0.0,ta,ta,brk_til,ta,ta,no,unf,0,unf,0,952,952,gas_a,gd,y,fuse_f,1022,752,0,1774,0,0,2,0,2,2,ta,8,min1,2,ta,detchd,1931.0,unf,2,468,fa,ta,y,90,0,205,0,0,0,,,,0,4,2008,wd,abnorml,129900
10,190,rl,50.0,7420,pave,,reg,lvl,all_pub,corner,gtl,brk_side,artery,artery,2fm_con,1.5_unf,5,6,1939,1950,gable,comp_shg,metal_sd,metal_sd,,0.0,ta,ta,brk_til,ta,ta,no,glq,851,unf,0,140,991,gas_a,ex,y,s_brkr,1077,0,0,1077,1,0,1,0,2,2,ta,5,typ,2,ta,attchd,1939.0,r_fn,1,205,gd,ta,y,0,4,0,0,0,0,,,,0,1,2008,wd,normal,118000
